source_text,target_text,predicted,original
All done.... away to college.,negative,positive,negative
yes she has a snuggie...but no booklight that comes with it on the ad,negative,negative,negative
"@dougiemcfly oh no, blindness isn't funny :o You should go for a walk or eat a banana",positive,negative,positive
in ecktown city.... fireworks... niice!! and then watching dvds!! and then... good night,positive,positive,positive
i woke up thinking that today was saturday,negative,negative,negative
Going to listen to LVaTT to calm myself..,positive,positive,positive
@jonas_twilight3 really? hahaha cool!,positive,positive,positive
"@cloverdash What crappy news It's the same up here-I'm amazed anyone is still employed, the amount of huge cuts there's been.",negative,negative,negative
@xmarikoo thanks!,positive,positive,positive
"So weve got MEtheory down, lets move on to practise, yes?",positive,positive,positive
"smelling some good food, from across the street. Gonna have to break in and steal their food!",negative,negative,negative
"ugh. i finally get to chill. today was a rush. well, at least i feel like i did something. moms bday tomorrow.",positive,positive,positive
@songzyuuup dang ongz u left us hanging today..I know u grinding..hopefully I can get a refill 2morrow. Be easy..Be Blessed,negative,negative,negative
"@papadimitriou I did, too. But it's a wonderful present to the volunteers and speakers. #tedxtokyo",positive,positive,positive
Wants her camera back!,negative,negative,negative
all dun up and runing now time to do jobs round the house got sh1t loads to do dam it,negative,negative,negative
@syapflife - He's doing alright so far -- said he was feeling great after the bike. No fissing... they may arrest me if I tried!,positive,positive,positive
"Today a G.N.O with my cousin, Its awesome! Do anyone want to come? The most important topic will be: JONAS BROTHERS",positive,positive,positive
@krystinascott I dont like it but I like and need money,negative,negative,negative
@genesimmons re: getting rid of fakes: Post a link FROM your official website to all of your social networking sites..advise FB,positive,positive,positive
I HATE SUMMER SCHOOL,negative,negative,negative
@MissLynnette noooo my internet signal is weak on my comp.,negative,negative,negative
"@LuvToSparkLe yes, i saw that.gave you a new heart",positive,positive,positive
working like a bitch as always... dreading to see the amount i spent this weekend,negative,negative,negative
"@AdorkableMellie That is some intense happiness going on, then.",positive,positive,positive
"@crazymog Ruby vetoed some fun power tool purchasing, shame as tree felling would have been an ideal opportunity!",positive,negative,positive
"@michelmcbride Yeah, it just seems so simple you'd figure if that was the reason, other people would have done it more. Go ToT.",positive,positive,positive
Just tried opening a bottle of coke against a stone pillar. Result? Snapped top of the glass off. http://twitpic.com/6fe1z,negative,negative,negative
@kirrus @crusader1089 i do too.,positive,positive,positive
yje saddest that i've ever been... cried lots.....,negative,negative,negative
"guys at Garden Of Eden are retarded tonite, at least try to pretend you dont have an asian fetish",negative,positive,negative
"Apparently, @CharterCom not offering the @StarzTV Free Preview this weekend. Bummer! Looks like @directv offering it on 520 @FrancoRose",negative,negative,negative
going to watch MasterChef soon and eat cakkeee DD,positive,positive,positive
"hasn't got much done from the to do list, but had a great time with his Honey and Carmen today!",positive,positive,positive
will go back to bed. Nahihilo na ako http://plurk.com/p/xr4zs,negative,negative,negative
I'm UP bored and there's NO ONE to talk to,negative,negative,negative
Just got home from Paradise A! Now in Paradise B.,positive,positive,positive
Bad News: I haven't been able to find my ring all day Good News: I had a really nice time with Gemini!,negative,negative,negative
@Keno424 i wish i could go for real,negative,negative,negative
@MJBtheMVP Me 2 then I have someone 2 party wit,positive,positive,positive
Just finish writing a song called &quot;Let's not Pretend&quot; Track is about a girl who cheated on me and acted like it was nothing.,negative,positive,negative
"Hanging with Cie, then going to Star Trek with the family c-bus is love.",positive,positive,positive
@KatrinaBaybee I know,negative,negative,negative
&quot;You were assassinated Johalonos&quot;,negative,negative,negative
@Caroline_S I cried like a baby when Abby went to Colomendy last year. She only went for 3 nights but had a fabulous time,positive,negative,positive
Jacuzzi time and party with some great people. fun timess. Fun timess.,positive,positive,positive
Had fun at the party tonight! Missing him.,negative,negative,negative
@whatbenwhat aww did you guys win any events?,negative,positive,negative
@Angela_pk its swannies .. i know she won't care but it was a custom for another site that would i drew my own hair .. i think i should,negative,positive,negative
@textzicke Happy Birthday !,positive,positive,positive
waiting for a video to download an than im off to sleep!,positive,positive,positive
I am in the car and sad I have to leave the lake,negative,negative,negative
"@ddlovato demi you are coming to peru on May 18 for the concert? I hope you come, I very fan of you",positive,positive,positive
"@LAKatieNYC Ahhh, next time. Man I hope this day goes quickly - ya with me?!",positive,positive,positive
"@DonP it really does work that way, have had it happen many times. On the other hand, we've kept the universal balance in place, go us!",negative,positive,negative
Had a GREAT vacation!!! This was 1 of the best!! and now heading home. As long as we don't get last...,positive,negative,positive
"I'm usually right all the time..... And when I'm wrong, I'm right for being wrong!",positive,positive,positive
Working on a movie set today in the middle of nowhere with no cell phone signal.,negative,negative,negative
im eighteeeeen! - officially l e g a l,positive,positive,positive
Waking up... working on... good day to all of u,positive,positive,positive
@taylorswift13 You are wonderful,positive,positive,positive
been painting all day,negative,positive,negative
@jasonwebley http://twitpic.com/6f5bj - aw that's my birthday id i could get to seattle i'd be there,positive,positive,positive
"wow, i havent tweeted in ages! i feel so left out!!",negative,negative,negative
is heading back home this afternoon after a great weekend up here,positive,negative,positive
Must fight urge to go to botcon http://www.botcon.com/BotCon09/,positive,negative,positive
I might finish my website today!,positive,positive,positive
@KELLY__ROWLAND i just wanted to say hello~~~~~,positive,positive,positive
"@CHRIS_Daughtry thinking about Universal, I recall your saying it was the biggest crowd you had ever played for How things have cha ...",positive,positive,positive
Suzy is sooo cuteee! I wish they wouldve kept her tho,negative,negative,negative
Still upset at not being a lottery winner again...no fair,negative,negative,negative
Fucking figures. I get back and Dean signs off. SHITTIEST WEEK EVER? I think so.,negative,positive,negative
"sad, dissapointed, lonely, sleepy.. should possibly go to bed. but I miss you",negative,negative,negative
"Hanging out with @jamiemcreject, @jellyAIKAbean, @biiiancaaa, @traaaaacy, @yowneh, and @keeelaahbebs",positive,positive,positive
@tiffdiamonds lol..... soooo out of hand!!!.....totally agree !,positive,negative,positive
"@bgsmilestoo The only skill required for a grilled cheese sandwich is not burning it. But if you did burn it, you probably shouldnt cook.",positive,positive,positive
@28doomdoom28 I saw that on jonas too But where is that line from cos I've heard of it my I can't remember where?,positive,negative,positive
Watchin radio:active and some girl was cryin at my song x,negative,positive,negative
no one can do for you the way you can do for yourself..... my expectations are always too high for others to catch... bummer,negative,negative,negative
@cxptainkirk lonely you?,negative,negative,negative
"just had a lovely lunch at my dads and now studying again, marketing management in practice",positive,positive,positive
"@jennaleaa hahaha aww i'd rather die than go in the sun awwww i know, has she had geography all day aswell !",positive,positive,positive
I wanna nap. Not get up get ready and drive,negative,negative,negative
@llofte i'm the person that always gets a dead pixel or two. None noticed (yet) on my iPhone. How did you notice yours? Is it glaring?,negative,negative,negative
OMG!!!! Nobody calls me backk I wanna hang out with somebody....,negative,negative,negative
Dana Point for Mother's Day brunch at the beach!,positive,positive,positive
@Grant_Jackson yeahh! good on yaa. the evil spinster can get lost,positive,positive,positive
Someone in UNITED STATES liked Assembler http://bit.ly/GB32X,positive,positive,positive
WELCOME NEW FOLLOWERS!,positive,positive,positive
I hope there won't be complications with the fall i had just now. Already the pain is intensifying.,negative,negative,negative
"Balaam, Harry and other video game knowhowers suggest me some games for my lovefilm",positive,positive,positive
@Adrojake one tv parentals overruled with ncis. i hate my family sometimes hahahah,negative,negative,negative
"@MariahCarey hi ya, hope all is good w/u &amp; your day so far has treated u kind. my half sis has moved back 2 the U.K from U.S.A kiss kiss",positive,negative,positive
Made dinner for Faith now it's my turn,positive,positive,positive
@blogtv u should feautre @yayninamarie,positive,positive,positive
I dont want a brace Xxx,negative,negative,negative
uploading pics...that's what u get from being bored,positive,positive,positive
@elized I don't have a beach!! ..I just realized that right now.,negative,negative,negative
The twins loath their bid for a perfect season,negative,negative,negative
@luchauer nope. Back in LA! Read the blog about you leaving rootclip.,negative,negative,negative
@robin_low oh the little chicks have flown!!,positive,positive,positive
"It is still bucketing down here, and still thundering on and off",negative,negative,negative
"Just got back from a wonderful trip to MS, but very happy to be back home w/all my awesome FPC peeps",positive,positive,positive
@jordanknight U 5 guys could be standing in the north pole and it would Still be HOT HOT HOT!!! xxxx,positive,positive,positive
@ketanpanchal We had CGS classes together freshman year and the same advertising class last semester. Also fun times...ish.,positive,positive,positive
"@allysonalfonso hahaha, awesomee add me if you like bperea_862@msn.com",positive,positive,positive
via @LindsayY93: Exhausted... All the seniors are gone now.,negative,negative,negative
"@selenagomez i saw ur WOWP trailer, nice and also a little scary",negative,positive,negative
Is chillin in Carla's,positive,positive,positive
"wtfff, twitter's gone crazy, keeps unfollowing people",negative,negative,negative
"@Andiio not yet, quite a few people are having the same problem.. its likely to be my drivers which can't be upgraded anymore",negative,negative,negative
Watching 'Enough' its pretty intense. Haha.,positive,positive,positive
@princesita015 - London is one of the most amazing cities I have ever been to,positive,positive,positive
"Got off work early, so sat in the garden listening to sunny afternoon. Perfect",positive,positive,positive
Another Intolerance Discovered http://tinyurl.com/obxtdj,negative,positive,negative
@solidstate You have to share that album you know! You can't keep it to yourself forever!,negative,negative,negative
anyone else experiencing problems sending photo's through Shozu to Twitpic? my photo's are not showing up in Twitter...,negative,negative,negative
@tommcfly http://twitpic.com/6g582 - OMG I REALLY LIKE THIS ONE TOM !!! U ROCK ! REALLYYYYYYY !!!!!,positive,positive,positive
No hang out with the Triv Boys in Aus,negative,negative,negative
I was doing so good working out with my Wii fit now I have broke my left arm what a set back,negative,negative,negative
ach. Copy and pasting journal entries so I can print them off at school in my last week for free and its taking forever,negative,negative,negative
Going to roll to B Fly's party. See yot there if your going to be there,positive,positive,positive
Can't wait to see my hubby again in BOF season 2 on February '010,positive,positive,positive
@Maddy2295 a million little pieces im very sorry.....on the bright side so is mine..hahah if there is a bright side to that,negative,negative,negative
have listened to a lecture on President Obama and which kind of president he will be according to the previous presidents Interesting !,positive,positive,positive
Outside watching Coal&amp;Lily play their fav game: burrow-under-the-picnic-blanket. Rex hasn't quite figured it out yet tho,positive,negative,positive
"http://bkite.com/07ZtC Just walked, 29 minutes, roughly 1.4 miles from dropping off my car. Crocs = blisters #pic",negative,positive,negative
"Every time someone opens IE6, I cry a little. Been fixing issue's most of today, #ie6 - want to give up.",negative,negative,negative
giving meg guitar lessons I promised jons over too,positive,positive,positive
Just woke so good morning dubai,positive,positive,positive
@Hellolizzay I work tomorrow,negative,negative,negative
"@LjTx hey! Haven't seen ya around lately, just wanted to say howdy",positive,negative,positive
@jangky good for you,positive,positive,positive
"@ammaryasir Dude, i did send a reply to your email",positive,positive,positive
Majorly annoyed with my laptop. Nothing on the box.,negative,negative,negative
@JacqulineAnn yes I am very sad about that,negative,negative,negative
@artsychic5 i can't get off tomorrow~~ so sad! took Thursday and Friday... May try to go Wednesday... but no morrow,negative,negative,negative
just woke up and in much PAIN,negative,negative,negative
Burned the roof of my mouth. Any suggestions?,negative,negative,negative
pulling my hair out with this viscom,negative,positive,negative
